,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,This Band,5HIZU0JzM0AgfItVOm4E08,Kahit Ayaw Mo Na,5V2AX2WTOHl2FKtftvisV6,2018-02-02,80,0.662,0.529
1,December Avenue,4qFxP3qN9GsnZDOkAE6x2m,Kung 'Di Rin Lang Ikaw,2BgD4nRyx9EZ5o8YEnjRSV,2018-07-22,80,0.502,0.482
2,juan karlos,0a4r2EnsevvHCukoJ1xFwJ,Buwan,5f9808hpiCpuNyqqdXmpF2,2018-06-22,79,0.631,0.381
3,I Belong to the Zoo,7tKpXx21KVUOR6vvDs6xtg,Sana,1X4l4i472kW5ofFP8Xo0x0,2018-04-25,79,0.66,0.373
4,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Pauwi Nako,2tzAN1L07SNwnOdgOEeuQr,2018-07-28,76,0.657,0.746
5,December Avenue,4qFxP3qN9GsnZDOkAE6x2m,Sa Ngalan Ng Pag-Ibig,00mBzIWv5gHOYxwuEJXjOG,2017-04-29,78,0.518,0.761
6,Ben&Ben,4DAcJXcjX0zlQAZAPAx4Zb,Maybe The Night,1yDiru08Q6omDOGkZMPnei,2017-10-27,77,0.572,0.522
7,This Band,5HIZU0JzM0AgfItVOm4E08,Hindi Na Nga,50hVyhZM4nvizfrQe38F3l,2018-09-14,75,0.396,0.413
8,Ben&Ben,4DAcJXcjX0zlQAZAPAx4Zb,Kathang Isip,3WUEs51GpcvlgU7lehLgLh,2017-06-23,77,0.491,0.314
9,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,92,0.771,0.32
10,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,89,0.735,0.638
11,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Love Someone,3id2EVGKc3eFAMn9nFnB0r,2018-10-26,78,0.538,0.409
12,LANY,49tQo2QULno7gxHutgccqF,Malibu Nights,0Eqg0CQ7bK3RQIMPw1A7pl,2018-10-05,78,0.559,0.422
13,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,2017-10-20,84,0.473,0.371
14,Moira Dela Torre,0rZRTXEmmPmx6gt92tBqIc,Ikaw At Ako,0gDRtumoR9ZrvAlnniToMz,2019-01-14,73,0.445,0.355
15,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,7dbka99KTWke5o9hRp0JoB,2019-02-22,73,0.761,0.479
16,December Avenue,4qFxP3qN9GsnZDOkAE6x2m,Bulong,5nMKJJ5Rl6X1yn58aVeICO,2018-04-08,76,0.5,0.728
17,JM De Guzman,2uhjpR62cyl0U8HD38yFQ8,"214 - From ""Alone/Together""",0Fh6hgq979963fIxr2VBF2,2019-02-08,69,0.351,0.35
18,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,97,0.752,0.488
19,December Avenue,4qFxP3qN9GsnZDOkAE6x2m,Kahit Di Mo Alam,6GIzDc4xBUeYHwubWwTrhC,2017-09-17,74,0.45,0.648
20,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,96,0.741,0.52
21,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.545
22,I Belong to the Zoo,7tKpXx21KVUOR6vvDs6xtg,Balang Araw,5NXdUJ3Z2jhlp2u1cj6f7m,2018-10-23,74,0.523,0.391
23,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,96,0.687,0.792
24,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,2002,2BgEsaKNfHUdlh97KmvFyo,2018-04-27,85,0.697,0.683
25,Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,2018-06-15,83,0.851,0.541
26,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,0rTV5WefWd1J3OwIheTzxM,2019-02-07,91,0.9,0.4
27,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,92,0.599,0.733
28,LANY,49tQo2QULno7gxHutgccqF,Thru These Tears,7GbAp0HKPQW7WnFJAzMoRk,2018-10-05,77,0.711,0.517
29,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Undecided,7uiBocndm12aKbsdnQ3Scx,2019-01-04,86,0.441,0.527
