,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Ninho,6Te49r3A6f5BiIgBRxH7FH,Goutte d’eau,5ojNTROUJJgCFFbdD3xTZn,2019-02-21,76,0.663,0.685
1,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,Khapta,6stxV2bl7xSiPUornxwyNR,2019-01-25,80,0.811,0.692
2,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,92,0.771,0.32
3,Angèle,3QVolfxko2UyCOtexhVTli,Tout oublier,06O3hxudc6V0BOuoCFSy71,2018-10-05,78,0.692,0.542
4,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,Les méchants,0r64LBR8RlnXcdd5HTFubd,2019-01-25,75,0.675,0.626
5,Lomepal,1Yfe3ONJlioHys7jwHdfVm,Trop beau,4WB9OeauHXnGOMUK4s80gM,2018-12-07,77,0.748,0.66
6,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,93,0.572,0.385
7,Lomepal,1Yfe3ONJlioHys7jwHdfVm,1000°C,6l7PqWKsgm4NLomOE7Veou,2018-12-07,73,0.706,0.553
8,Bramsito,1WDkNp8Duv9QhO246S4dDa,Sale mood,7oxSh7uiB74lWGVIv2Qtlm,2018-11-01,76,0.685,0.761
9,Roméo Elvis,2pHk4wAmL7ofTAuvCIUWtv,Malade,0MEriM1ajYAQOZTzLSz7o7,2019-02-21,66,0.669,0.641
10,Kaaris,1ntQKIMIgESKpKoNXVBvQg,Gun salute,5UgUGPknu6JRgawaJAO9rX,2019-01-25,69,0.862,0.533
11,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018-08-17,96,0.719,0.704
12,Maes,6L34dW6SKMSDaGIfYDU19j,Madrina,4miiqu2dxOhBguQDHtqssH,2018-11-29,68,0.736,0.797
